id,p,year,propCrop
1294_1-2,fallMig,2006,0
1294_1-2,springMig,2006,0.00973547054774314
1294_1-2,winter1,2006,0.013114178007795
1306_1-2,fallMig,2006,0
1306_1-2,springMig,2006,4.59368827231384e-05
1306_1-2,winter1,2006,0.0119293137611711
1311_1-2,fallMig,2006,0.000117720263020702
1311_1-2,springMig,2006,9.27557740469344e-05
1311_1-2,winter1,2006,0.0118581212429345
143_1-2,fallMig,2006,0.00623031630836643
143_1-2,springMig,2006,0.0228710806320478
143_1-2,winter1,2006,0.107261201555972
145_1-2,fallMig,2006,0.00107588856868396
145_1-2,springMig,2006,0.0347737786302606
145_1-2,winter1,2006,0.000378644452858766
146_1-2,fallMig,2006,0.000162877818367964
146_1-2,springMig,2006,0.0203819567771372
146_1-2,winter1,2006,0.0112359550561798
147_1-2,fallMig,2006,0.00780714752322228
147_1-2,springMig,2006,0.0048820272474556
147_1-2,winter1,2006,0.0357206964638306
148_1-2,fallMig,2006,0.00102170033960744
148_1-2,springMig,2006,0.00101632091827584
148_1-2,winter1,2006,0.0190615835777126
149_1-2,fallMig,2006,0.00666370501999112
149_1-2,springMig,2006,0.0199726740314043
149_1-2,winter1,2006,0.0198373248983281
150_1-2,fallMig,2006,0.00833333333333333
150_1-2,springMig,2006,3.16987352204647e-05
150_1-2,winter1,2006,0.00920587392093779
151_1-2,fallMig,2006,0
151_1-2,springMig,2006,0.00032699923700178
151_1-2,winter1,2006,0.00716768027801911
152_1-2,fallMig,2006,2.37030013925513e-05
152_1-2,springMig,2006,0
152_1-2,winter1,2006,0.0326262426010366
153_1-2,fallMig,2006,0.0012232013678811
153_1-2,springMig,2006,0.00419269748715813
153_1-2,winter1,2006,0
852_1-2,fallMig,2006,5.26456849682212e-05
852_1-2,springMig,2006,0
852_1-2,winter1,2006,0.0357418701893627
854_1-2,fallMig,2006,0.0076430220834553
854_1-2,springMig,2006,0
854_1-2,winter1,2006,0
1294_1-2,winter2,2007,0.00275759883110736
1306_1-2,winter2,2007,0.0236852102161794
1311_1-2,winter2,2007,3.33633603576552e-05
143_1-2,winter2,2007,0.00938064575902163
145_1-2,winter2,2007,0.00875684845150494
146_1-2,winter2,2007,0.0288938053097345
147_1-2,winter2,2007,0.023709262733653
148_1-2,winter2,2007,0.0202325624801687
149_1-2,winter2,2007,0.0257350332332001
149_2-3,fallMig,2007,0.028556555365509
149_2-3,springMig,2007,0.0107628450241142
149_2-3,winter1,2007,0.0166300296282137
150_1-2,winter2,2007,0.0229689559008305
151_1-2,winter2,2007,0.0115909689616165
152_1-2,winter2,2007,0.0247847929647961
153_1-2,winter2,2007,0.00769465183605059
727_1-2,fallMig,2007,0.000501329282187619
727_1-2,springMig,2007,0.000173454896306495
727_1-2,winter1,2007,0.0323664977463139
728_1-2,fallMig,2007,0.017360256094558
728_1-2,springMig,2007,0.00580796732520635
728_1-2,winter1,2007,0.0149536504499628
729_1-2,fallMig,2007,0.0425121615597806
729_1-2,springMig,2007,0.0503930316549819
729_1-2,winter1,2007,0.155701952290708
730_1-2,fallMig,2007,0.00603649024439873
730_1-2,springMig,2007,0
730_1-2,winter1,2007,0.00426408926160188
733_1-2,fallMig,2007,0.00927206407840881
733_1-2,springMig,2007,0.00839476306760694
733_1-2,winter1,2007,0.0132939438700148
734_1-2,fallMig,2007,0.000300845873446117
734_1-2,springMig,2007,0.00416189011233397
734_1-2,winter1,2007,0.00638643536068421
737_1-2,fallMig,2007,0.000461826722613675
737_1-2,springMig,2007,0.00273075393919103
737_1-2,winter1,2007,0.0377017638288263
739_1-2,fallMig,2007,0.000192091325704564
739_1-2,springMig,2007,0.00356538690482278
739_1-2,winter1,2007,0.0359132711284151
741_1-2,fallMig,2007,0
741_1-2,springMig,2007,0.00140961545690336
741_1-2,winter1,2007,0.014293173214985
743_1-2,fallMig,2007,0.00665589046305981
743_1-2,springMig,2007,0
743_1-2,winter1,2007,0.0121808013056545
747_1-2,fallMig,2007,2.210254105547e-05
747_1-2,springMig,2007,4.11117437751681e-06
747_1-2,winter1,2007,0.0005801002413217
750_1-2,fallMig,2007,0.00335131874392574
750_1-2,springMig,2007,0.00459420521850488
750_1-2,winter1,2007,0
751_1-2,fallMig,2007,0.0158611763157317
751_1-2,springMig,2007,0.000270364219226758
751_1-2,winter1,2007,0.0302404595198318
752_1-2,fallMig,2007,0.0175580642176367
752_1-2,springMig,2007,0.00395053531413395
752_1-2,winter1,2007,0.0312903910334317
753_1-2,fallMig,2007,0.0353850149331256
753_1-2,springMig,2007,0.000181904172881726
753_1-2,winter1,2007,0.00095271830074141
755_1-2,fallMig,2007,0.000338690284669184
755_1-2,springMig,2007,0
755_1-2,winter1,2007,0.0073618700667881
756_1-2,fallMig,2007,0.0219846994684755
756_1-2,springMig,2007,0.00045991891799816
756_1-2,winter1,2007,0.0224735128966582
757_1-2,fallMig,2007,0.0264980083662893
757_1-2,springMig,2007,0.0389217439141796
757_1-2,winter1,2007,0.0135894771993618
758_1-2,fallMig,2007,0
758_1-2,springMig,2007,0.00186059440387004
758_1-2,winter1,2007,0.00102197240674502
761_1-2,fallMig,2007,0
761_1-2,springMig,2007,0.00137472629482919
761_1-2,winter1,2007,0.000966494845360825
762_1-2,fallMig,2007,0.00332695666638942
762_1-2,springMig,2007,0.00499203226121175
762_1-2,winter1,2007,0
763_1-2,fallMig,2007,0
763_1-2,springMig,2007,0.00509295398910169
763_1-2,winter1,2007,0.0104391507397669
766_1-2,fallMig,2007,0.000714285714285714
766_1-2,springMig,2007,0.00163959313799909
766_1-2,winter1,2007,0.00471709681902535
768_1-2,fallMig,2007,0.00390371373834697
768_1-2,springMig,2007,0.00100736886357687
768_1-2,winter1,2007,0.00107540757947262
852_1-2,winter2,2007,0.0247355618115724
854_1-2,winter2,2007,0.0275343974487531
149_2-3,winter2,2008,0.0235041150737747
149_3-4,fallMig,2008,0.0273706626581486
149_3-4,springMig,2008,0.0381082665624389
149_3-4,winter1,2008,0.057310312969165
305_2-3,fallMig,2008,0
305_2-3,springMig,2008,0.0270554754200616
305_2-3,winter1,2008,0.0655450247486294
308_2-3,fallMig,2008,0.0136103728758959
308_2-3,springMig,2008,0.0246835443037975
308_2-3,winter1,2008,0.0448934537671463
311_2-3,fallMig,2008,0.0268374255648911
311_2-3,springMig,2008,0.0134623317208535
311_2-3,winter1,2008,0.0604334226988383
312_2-3,fallMig,2008,0.0349007134874925
312_2-3,springMig,2008,0.0190137743557034
312_2-3,winter1,2008,0.0697110947018645
313_2-3,fallMig,2008,0.0191979949874687
313_2-3,springMig,2008,0.0253253136506773
313_2-3,winter1,2008,0.0706144963619583
314_2-3,fallMig,2008,0.0212587412587413
314_2-3,springMig,2008,0.0250664123697296
314_2-3,winter1,2008,0.0448885825867218
315_2-3,fallMig,2008,0.0279914064202759
315_2-3,springMig,2008,0.0351730270750951
315_2-3,winter1,2008,0.0937423761893145
318_2-3,fallMig,2008,0.114019295573097
318_2-3,springMig,2008,0.0423135464231355
318_2-3,winter1,2008,0.0777258661488987
319_2-3,fallMig,2008,0
319_2-3,springMig,2008,0.0187223603085961
319_2-3,winter1,2008,0.0527974165634651
321_2-3,fallMig,2008,0.0169162952078729
321_2-3,springMig,2008,0.0114304710274638
321_2-3,winter1,2008,0.0595797499778349
322_2-3,fallMig,2008,0.0887174335848169
322_2-3,springMig,2008,0.0272986614000439
322_2-3,winter1,2008,0.0889562535932682
323_2-3,fallMig,2008,0.0631846149601302
323_2-3,springMig,2008,0.101480309095987
323_2-3,winter1,2008,0.0896777206912658
325_2-3,fallMig,2008,0.0107377106989209
325_2-3,springMig,2008,0.0206476158738093
325_2-3,winter1,2008,0.0546622810372524
326_2-3,fallMig,2008,0.0816619154279509
326_2-3,springMig,2008,0.101155255001409
326_2-3,winter1,2008,0.0410467825775229
328_2-3,fallMig,2008,0
328_2-3,springMig,2008,0.0379536836403034
328_2-3,winter1,2008,0.0525485807304914
331_2-3,fallMig,2008,0.0281097261523351
331_2-3,springMig,2008,0.00226029302670623
331_2-3,winter1,2008,0.0465262276785714
332_2-3,fallMig,2008,0.196190570099755
332_2-3,springMig,2008,0.214546208039785
332_2-3,winter1,2008,0.0503094218577416
333_2-3,fallMig,2008,0.0125509225976516
333_2-3,springMig,2008,0.0201669138644766
333_2-3,winter1,2008,0.0589123585450885
334_2-3,fallMig,2008,0.0581042566884251
334_2-3,springMig,2008,0.0314980534910764
334_2-3,winter1,2008,0.0587214509628303
470_2-3,fallMig,2008,0.0928846153846154
470_2-3,springMig,2008,0.0531861848884752
470_2-3,winter1,2008,0.0638620358218887
727_1-2,winter2,2008,0.0292771358871941
727_2-3,fallMig,2008,0.0264941034967109
727_2-3,springMig,2008,0.000481772924361651
